,mixing,pup,pdown,dup,ddown
0,-2.17922392,-17.008917728699945,-16.374015393300922,-5.423733878368876,-3.8937229203305264
1,1.14677399,-13.037230770799562,-13.200169575509053,-3.2950881201713265,-5.038827262306119
2,3.93140446,-16.87847684636156,-17.238177274414085,-3.247466271654313,-2.998956132033764
3,4.31571883,-16.92412070130827,-16.75659781334141,-4.1167602195905095,-3.5413361368151186
4,-2.4509139,-15.113612549340631,-15.21004593039265,-4.8083272596273465,-3.62655995814593
5,-4.75412048,-15.037149950661874,-14.91417480465928,-4.479792877478364,-4.108135342586565
6,-4.66814573,-18.18154849584485,-17.92642816207273,-3.612321652917428,-2.81098363114531
7,2.51037086,-13.347280645160618,-13.315902731050649,-4.279455520465399,-2.7468844444471223
8,-0.47984555,-13.2025017435648,-13.130339762268534,-3.0380672573309253,-4.036866731908701
9,1.57127422,-15.07869178952688,-14.888189798724332,-5.1007266768897095,-4.060691576543132
10,3.99995803,-14.982400962333248,-14.755994102551805,-3.899996278979335,-3.909760951411333
11,6.96808831,-19.13890288336664,-19.007976781784954,-2.9313543518349032,-2.5220647818093123
12,-3.04566447,-13.831161360315225,-13.829471598677998,-3.587778557857931,-3.345424928579043
13,1.73542425,-12.435935012121275,-12.142460863189386,-3.6302581833212777,-4.793272739942873
14,-0.09919005,-9.27154185388973,-9.156537373893906,-3.159540339701421,-3.4498551329772287
15,8.40561092,-10.446190857170976,-10.65230858113425,-3.8307829487989062,-2.8995881175147065
16,-7.01669406,-18.80501364278475,-19.365685669818227,-3.070646427911004,-3.2207396313609293
17,6.81323613,-16.415667958708685,-16.1265147913059,-3.989104714769742,-2.691972806517519
18,0.53448428,-12.309735777396789,-12.321836006479725,-4.059798814155906,-3.4250808351253315
19,9.61369417,-10.598451257859562,-10.755518003391767,-3.920265728306226,-4.747347089536258
20,-2.70798662,-13.559557210006918,-13.458231638011943,-3.32222110334813,-3.7320380415665952
21,2.88687143,-14.33751349533518,-14.40525336829274,-2.8937798533289234,-4.296568831297028
22,2.22065955,-14.599361264817269,-14.60047054930519,-2.726751061749904,-3.8076254136211656
23,0.34574073,-12.643953345113689,-12.654262249424644,-4.202797138144748,-2.373177040143144
24,5.81438778,-13.301232997300753,-13.556021020942689,-3.8740786910765466,-3.611294549316705
25,0.63066044,-16.243596620170223,-16.196195862179803,-4.536309788326066,-3.644245981459153
26,7.334186,-12.166189490507929,-12.131799727134403,-3.932803319845872,-3.122402935012194
27,0.16178331,-11.166266966763995,-10.841751561920164,-3.972148838515847,-3.492373739427058
28,2.40526563,-13.502837034833268,-13.485072993004891,-4.444538554055477,-4.329820197862953
29,3.57911593,-13.291572212811625,-13.15971259406036,-4.401903048564456,-3.3790440610736105
30,-0.38355866,-20.01432830221611,-20.118128877783,-4.549198707458617,-3.0464621871398414
31,3.49196353,-13.701077074128335,-13.680754870938433,-3.4185881000857608,-3.516815403032377
32,-2.30382416,-15.89939534265508,-15.808489164585795,-3.701379630814341,-2.692791521251871
33,-0.17868954,-11.814481388256048,-11.92246406656172,-4.236519253470521,-2.931172886957233
34,0.87637699,-14.279138841907956,-13.936255789885935,-4.567014617336389,-3.432142701082072
35,1.7247830000000002,-12.49846723857227,-12.507363473424888,-2.6174646932774883,-2.763735493728696
36,-0.04537774,-15.273181704130096,-14.50897803186728,-4.704876151211775,-3.1106257229534227
37,7.25504747,-10.827419881053649,-10.718976057869428,-3.5071576052660065,-3.3245055976306537
38,-2.52385545,-13.586199805356586,-13.516708927652257,-4.280298105456848,-3.88675870592962
39,-8.26178482,-11.8251672826234,-11.79410228810101,-2.8690090863706192,-3.857463334380904
40,-0.36370647,-17.713054866782567,-17.460564106651177,-5.572682877879166,-3.668549166459013
41,-4.9063282,-14.294125420967296,-14.16594733092438,-4.042592867530755,-3.951273048120779
42,10.35512627,-10.32256369455212,-10.372087077522956,-3.8128128050002776,-2.4624801079788274
43,-7.12348699,-17.058164624330804,-16.957562063554427,-5.026506153247136,-3.5024359200516035
44,-2.84029316,-17.312932073166227,-17.109992338645018,-4.568344907982711,-3.5638249166905376
45,-2.92033173,-17.4143781590158,-17.68124311570934,-5.577242074834219,-3.423083958959669
46,10.29775619,-13.70987664818652,-13.740282892437104,-2.9270772145836714,-3.1138195209242645
47,2.02294146,-11.615336888999062,-11.64312579819251,-3.5393225227455334,-3.1272631029436537
48,-10.97383118,-19.411450265496377,-19.003708418030957,-4.295983752784174,-2.8516489275843684
49,5.09420501,-15.457239907998304,-15.430269067622756,-2.5167607718634133,-3.1689260164427555
50,-6.98986262,-16.610038222265953,-16.3034389191541,-3.8113850007975096,-2.651439653782907
51,13.8259771,-16.119549699233733,-15.685564586340512,-2.4444063048972144,-2.9946541076217112
52,2.3239515,-13.75262831865842,-13.531566184317606,-3.894501345090653,-3.2178761399785087
53,2.62969488,-16.108177076289405,-16.150788967643965,-2.478935270826545,-3.151839824878785
54,3.41988498,-13.142747435457306,-13.196429653752078,-3.183598179397248,-2.952659592391428
55,0.47521652,-15.328938392147352,-14.937688967637696,-5.216500457671298,-3.658232834655464
56,-5.38455284,-15.814678322113704,-15.640993277619277,-5.2771527683762764,-3.667848113322596
57,5.83612021,-18.111902203891468,-17.96401480565238,-2.9126274038514333,-3.0824987981458456
58,7.47317939,-10.908718149680636,-10.955133216079073,-3.1110639682486294,-3.415418420746734
59,-5.98036055,-12.840692075304885,-13.234866771123992,-3.868958046380188,-4.203337720480478
60,2.10095297,-16.294747286076042,-16.299665113345398,-4.210102491565822,-3.9380633259372417
61,-5.41375683,-19.79679937756418,-19.76036801103431,-4.366576308021939,-3.0377309814480595
62,-1.78729004,-15.130532413171188,-14.620607177632197,-4.299604771509407,-4.216378264506027
63,4.08000939,-14.616129725815275,-14.955582173544297,-4.527315612585953,-3.138209684472073
64,3.68206156,-13.992946428942954,-13.736469978087518,-3.9250316943922896,-4.083221245227203
65,7.86849824,-13.819349026315493,-13.595725810507815,-4.439879323946314,-3.337417100017844
66,-16.27645667,-16.810006315286007,-16.702225264607087,-5.23464214158258,-4.1680112728685375
67,-2.13653353,-12.647329434212727,-12.951656030206106,-3.392014761771564,-3.735068980282766
68,-9.83335971,-15.635117292090962,-15.71555690787316,-4.127799391719698,-3.9849498391620144
69,0.4244859,-16.525309116336732,-16.298767310732227,-4.678950636243567,-4.0877551035266855
70,3.39201438,-15.47159621351406,-15.320441728466989,-4.194894973616085,-2.783878352545273
71,-0.1820186,-13.219620759211008,-13.007483079805631,-2.9411517837708794,-4.324564557851488
72,5.57507273,-13.642054257292306,-13.738306994525905,-2.6048638666522708,-4.756507218361705
73,-0.46701521,-16.82251292541332,-16.647633509840286,-4.471242236072887,-3.279123164022025
74,-0.60131641,-17.045102666278055,-16.66452680196848,-3.6846272861959313,-3.2058654709791385
75,-1.57797173,-13.732923168784284,-13.503354983557523,-4.369367446739177,-3.3189943777548936
76,3.48525528,-12.961341647848014,-12.898490214130227,-4.496405410715043,-3.704031175152783
77,-19.45313266,-13.099147981901574,-13.101164612287038,-3.436056483002404,-3.9013398104689663
78,5.9088933,-14.369420670693795,-14.308780593375223,-3.2550204565947176,-3.368739976516128
79,-0.41894202,-11.969679959015142,-11.944726789469602,-3.340560831969475,-3.3952789088194497
80,-0.4664813,-14.720577321292634,-14.395055346920811,-4.379587673970473,-3.356929612127632
81,1.89390765,-11.5958510109698,-11.728190266185944,-4.2973030559431455,-2.528731190750381
82,-4.18716402,-15.394045942521837,-15.250977473242338,-4.572846202513282,-3.4006473176580303
83,0.25847658,-13.998102397503237,-13.669582130747164,-4.933072646893674,-3.6031350729594194
84,2.51590612,-16.257756411308964,-16.295449767252823,-3.6155444978453457,-3.6228421216466575
85,-6.74516868,-16.217789647908486,-16.656079240676892,-4.0490245384929615,-3.1085333877574857
86,5.15864426,-10.239687837795888,-10.32773198185183,-4.170626658188737,-2.506896082952455
87,-3.82851379,-12.99436112819002,-12.990558950472153,-4.259341017491602,-4.174907725825618
88,-2.78799386,-17.17813134570533,-17.42700346270855,-3.7772471902266127,-3.0609163024572563
89,-1.84678233,-17.217717225406172,-16.931865539168882,-4.658457429384388,-3.7318000288335207
90,-13.75946129,-14.178339025970736,-14.138051433164144,-4.665500642593097,-4.236624239073821
91,2.35739516,-14.59998118993022,-14.702955782276232,-3.1234417636170675,-3.5692247231514496
92,2.40623453,-16.399713138645232,-15.987643203508304,-3.91856430679665,-2.7775438989154537
93,6.64644177,-18.49165091195257,-18.346139980670248,-2.1751034880125526,-3.0442572380558635
94,2.69184334,-11.290884163987974,-11.334592159552605,-3.1575609701847367,-3.5685377603712465
95,0.56804654,-13.791160819817126,-13.76671778001466,-4.182300715643756,-3.575482881223138
96,-1.20859586,-13.415462719578755,-13.319071631468878,-2.662431462136849,-3.896305114864299
97,3.77932359,-15.816269383586745,-15.83825308737206,-3.8908398937175375,-3.2290316121689986
98,-6.22027721,-12.13081548942825,-12.181425777908194,-3.515847220588844,-3.258290143901033
99,-3.99493874,-18.299970781183813,-18.065794106485285,-4.881653686049467,-2.655661568389064
100,1.49988284,-10.803357184888757,-10.756102342549344,-3.2569319536207284,-4.0920518565270125
101,0.4112230999999999,-16.821145948722652,-16.656261987866102,-4.082947212361803,-2.765727608360724
102,2.51461054,-15.57725875538834,-15.509663837874038,-4.1639976671546135,-4.065431968619404
103,0.43370418,-15.520779102209056,-15.556311674489724,-2.957929678869861,-3.5888396594358896
104,8.80316152,-15.509277801228215,-15.394036723641625,-2.996073298260076,-3.689314551360836
105,2.28124668,-17.57508046728712,-17.2909408721795,-3.2903742839100403,-2.716332192187847
106,4.77276659,-17.677570198649057,-17.66005811763501,-4.143314268169367,-2.676962843887832
107,-0.64697697,-14.08368067182791,-13.992352763924169,-3.7482767566648447,-3.7098584257649554
108,-0.84309346,-16.74354255654453,-16.923934203840545,-3.6580562497064406,-2.724106026340017
109,2.64003203,-14.934611085191314,-14.858945537085074,-3.3011155967377603,-3.2969972422650944
110,5.34215024,-17.388640481580968,-17.297258176700538,-3.6069287559052414,-3.0416248277523965
111,-4.30837194,-13.980467585308062,-14.30048000402138,-4.545204227661952,-4.086209491818772
112,-3.13754914,-11.855992121964547,-11.816604897872503,-3.66860151564586,-3.4806506425672565
113,-2.23497224,-18.52485971199196,-18.355035552383764,-4.199357690004057,-3.070477001423359
114,3.51236698,-13.024083430346325,-13.060540421745523,-3.539315274320648,-3.4074138586740514
115,-1.97844634,-11.772332176002225,-12.180728359571235,-3.752106916152842,-2.500254822782385
116,-5.76787839,-13.661891355643736,-14.130492211209836,-2.887144202114265,-3.3543042348054075
117,13.29607989,-18.078410377314352,-18.435352889529,-2.358071561710521,-3.0521752930966395
118,2.93768133,-11.322818033090648,-11.16541168198494,-3.806792336035208,-3.0543740872317864
119,1.88944772,-16.61904859090477,-16.06847542503511,-5.343065040482017,-3.861618418598897
120,-0.00041439,-14.691477814700036,-14.69154659311001,-4.671644709350968,-4.671621889804175
121,0.00043321,-19.53890762760093,-19.316254367995032,-1.6546213381531802,-2.456296553584517
122,0.0004708999999999,-9.151857802727363,-8.451488059238825,-3.36871529863492,-2.6823902000062514
123,-0.00030784,-21.49448665997546,-20.498478114504103,-6.484168689788722,-2.572101124167656
124,2.37e-05,-3.4039389251444487,-3.2132077330480686,-2.8004601359397405,-3.165207070129087
125,-0.00045015,-21.43096926139045,-21.431068473967223,-2.99318832197032,-2.9932040962526965
126,-0.00012518,-7.464459538279124,-7.4645414531924255,-3.4635528421677333,-3.4635346786806447
127,0.0003481,-12.862818232231664,-12.862711254327946,-4.154716257871248,-4.15473711504675
